name,hint1,hint2
Tom Holland,This performer started on stage in a musical about a young boy who loves to dance before pivoting to film action.,A British actor and gymnast who played a high school webslinger in the Marvel Cinematic Universe.
Keanu Reeves,An internetbeloved star known for performing his own intensive stunt work and custom motorcycle design.,A Canadian action icon who dodged bullets in a cyber virtual reality and played a hitman avenging his puppy.
LeBron James,A high school sports prodigy dubbed 'The Chosen One' who turned his athletic talent into a vast global brand.,An NBA legend nicknamed 'The King' who broke the league's all-time scoring record and won titles across three franchises.
Denzel Washington,"A commanding stage and screen performer celebrated for intense, gravellyvoiced dramatic portrayals.","A two-time Academy Award-winning actor famous for his roles in Training Day, Glory, and Malcolm X."
Pedro Pascal,An actor who competed as a state-level swimmer in Texas championships at age eleven before focusing his attention on theater.,He starred as a helmeted bounty hunter protecting Grogu and as Joel navigating a fungus-infested apocalypse.
Lionel Messi,A worldrenowned athlete who famously signed his first elite club contract on a tennis club paper napkin.,A South American left-footed soccer legend who won eight Ballons d'Or and led his nation to a 2022 World Cup title.
Stephen King,A prolific storyteller whose dark tales and supernatural mysteries almost always take place.,"The bestselling master of modern horror who created The Shining, It, Carrie, and Misery."
Gordon Ramsay,"A former youth soccer player whose sports career was cut short, prompting him to conquer a completely different industry.",A multi-Michelin-starred Scottish chef famous for his hot-tempered outbursts on reality television shows like Hell's Kitchen.
Dwayne Johnson,A former college football national champion who reinvented himself into a charismatic entertainment icon.,A third-generation WWE wrestler known as 'The Most Electrifying Man in Sports Entertainment' turned Hollywood action megastar.
Lin-Manuel Miranda,A theatrical composer who transformed his passion for hip-hop and storytelling into record-breaking stage productions.,The Pulitzer-winning creator and star of the hit Broadway musicals In the Heights and Hamilton.
Barack Obama,A former constitutional law professor and community organizer who won multiple awards for his spokenword audiobooks.,The 44th President of the United States and first African American commander-in-chief.
Shohei Ohtani,A rare modern athletic phenom who accomplishes achievements on the field not seen since the era.,A Japanese Major League Baseball icon celebrated as an elite pitcher and power hitter who achieved the first 50/50 season.
Cillian Murphy,An Irish actor who was the lead singer and guitarist in a rock band called The Sons of Mr. Green Genes before pivoting to acting.,An Irish performer who played Thomas Shelby in Peaky Blinders and won an Oscar for starring in Oppenheimer.
Banksy,A worldrenowned cultural figure whose true identity remains unconfirmed despite decades of global media attention.,An anonymous British street artist known for political stencil graffiti and shredding his own artwork at a Sotheby's auction.
Trevor Noah,A multilingual comedian whose bestselling autobiography detailed growing up during and immediately after.,A South African stand-up comic who served as the host of Comedy Central's The Daily Show from 2015 to 2022.
Usain Bolt,An international sports star famous for his signature 'To Di World' strike-a-pose celebration after winning competitions.,An eight-time Olympic gold medalist track star from Jamaica widely considered the fastest human runner in history.
Ryan Reynolds,"A witty comedy actor who has built a business empire spanning aviation gin, wireless networks, and soccer.",A Canadian actor celebrated for his fast-talking humor and portrayal of the foul-mouthed antihero Deadpool.
Kendrick Lamar,"A critically acclaimed lyricist hailed for introspective albums examining social commentary, religion, and internal conflict.",A West Coast rapper from Compton behind To Pimp a Butterfly who became the first hip-hop artist to win a Pulitzer Prize.
Jon Stewart,A prominent political commentator and advocate who has repeatedly testified before on behalf of 9/11 responders.,The satirical comedian who hosted Comedy Central's The Daily Show during its influential height from 1999 to 2015.
George R.R. Martin,A veteran television screenwriter and novelist who famously insists on writing his books on an offline computer.,"The epic fantasy novelist behind A Song of Ice and Fire, the literary foundation for HBO's Game of Thrones."
Lewis Hamilton,A highprofile sports figure prominent in high fashion and diversity initiatives across global motorsport.,A British racing driver tied for the most Formula 1 World Drivers' Championship titles in history with seven.
Guillermo del Toro,A master storyteller who maintains a dedicated suburban home solely to house his massive private collection of monster art and oddities.,"The Oscar-winning Mexican director behind dark, atmospheric fantasy films like Pan's Labyrinth and The Shape of Water."
Christopher Nolan,"A filmmaker noted for his strict preference for physical film stock, largeformat camera gear, and minimal digital.","The British-American director famous for mind-bending blockbusters like Inception, Interstellar, The Dark Knight, and Oppenheimer."
David Beckham,A former international team captain who crossed over from sports to become a global pop-culture celebrity and club owner.,"An English midfielder renowned for his curving free kicks, playing for Manchester United, Real Madrid, and the LA Galaxy."
Volodymyr Zelenskyy,An entertainer and voice actor who once won his nation's version of with the before entering public service.,The former comedic actor who portrayed a teacher-turned-leader in Servant of the People before being elected President of Ukraine.
Bad Bunny,A global music artist who went from bagging groceries in while posting tracks online to topping worldwide streaming charts.,A Latin trap and reggaeton icon who made history with the first all-Spanish album nominated for Album of the Year at the Grammys.
Ke Huy Quan,A famous 1980s child star who spent nearly two decades behind the camera in stunt choreography due to a lack of acting roles.,"He played Short Round and Data as a child before making a historic, Oscar-winning comeback in Everything Everywhere All at Once."
Tom Brady,An unheralded 6thround draft selection picked 199th overall who went on to achieve unmatched professional success.,"The NFL quarterback widely regarded as the GOAT, having won seven Super Bowl titles with New England and Tampa Bay."
M Night Shyamalan,A filmmaker who frequently self-finances his projects to retain creative freedom over his signature atmospheric thrillers.,"A director famous for supernatural films set around Philadelphia featuring famous plot twists, including The Sixth Sense and Unbreakable."
Haruki Murakami,A long-distance runner and former Tokyo jazz club owner who didn't write his first piece of fiction until his late twenties.,"An internationally acclaimed Japanese author whose surreal novels include Norwegian Wood, Kafka on the Shore, and 1Q84."
Stephen Colbert,"A comedian and avid scholar who originally gained fame playing a deadpan, ultraconservative news anchor.",The former host of The Colbert Report on Comedy Central who went on to succeed David Letterman on CBS's The Late Show.
Giannis Antetokounmpo,A towering athletic star who grew up in sharing a single pair of basketball shoes with his brother before entering the draft.,A multi-time NBA MVP and champion forward for the Milwaukee Bucks known worldwide as 'The Greek Freak'.
Dev Patel,A taekwondo black belt holder who transitioned into acting on a teen drama series before stepping behind the camera to direct action cinema.,The British actor who gained international stardom in Slumdog Millionaire and directed/starred in Monkey Man.
Ai Weiwei,An internationally influential creative who helped design the 'Bird's Nest' stadium before using his platform to challenge state authority.,A world-famous dissident Chinese contemporary artist and activist known for large-scale political installations like Sunflower Seeds.
